Mito,Mito-IMS,Mito-Matrix,Mito-MIM,Mito-MOM,OXPHOS,mtComplexI,PlasmaMembrane,Golgi,Lysosome,LysoTMs,ER,Endosome,EndoType,Cytoplasm,Nucleus,Autophagy,Autophagy_det,SynGO,Endo_iN_curated_Hundley,SynapseSVs,Presynaptic,Postsynaptic,EndoDetailed,EndoDetailLoac,NeuroDev,EndoLyso,EarlyEndosome,RecyclingEndosome,SVfusion,Svendocytosis,Svexocytosis
DNA2,,PDPR,SLC25A47,,,,CHRNA9,TMEM115,,,,A0A3B3ITR4[p],recycling_endosome,,RNF14,,,CLSTN3,GDI2,ADD2,,RPL17,ARPC2,Endosome,,GDI2,,,,,
DNAJA3,,NLN,SLC25A41,,,,CHRNB1,TMEM130,,,,A8K6Q8[p],recycling_endosome,,RNF6,,,CLTA,CHMP4B,ADGRB2,,RPL18,DDOST,Endosome,,CHMP4B,,,,,
DNAJC11,,BOLA1,SLC25A34,,,,CHRNB2,TMEM165,,,,,,,HPSE,,,CLTB,SNX18,ADGRB3,,RPL22,SRC,Endosome,,SNX18,,,,,
DNAJC15,,ALAS2,MICU1,,,,CHRNB3,TMEM167A,,,,,,,TENT4A,,,CLTC,ACTR3,ADGRL2,,RPL23,ARPC4,Endosome,,ACTR3,,,,,
DNAJC19,,GRPEL2,NDUFAF3,,,,CHRNB4,TMEM167B,,,,,,,CDYL,,,CLU,CHMP2A,ADGRL3,,RPL23A,RTN4,Endosome,,CHMP2A,,,,,
DNAJC28,,ALDH7A1,RSAD1,,,,CHRND,TMEM230,,,,,,,RUVBL2,,,CNIH2,APP,ADORA2B,,RPL24,CLINT1,Endosome,,APP,,,,,
DNAJC30,,HDHD5,CHCHD6,,,,CHRNE,TMEM59L,,,,,,,METTL1,,,CNIH3,RAB8A,ADORA3,,RPL26,FAM234B,Endosome,,RAB8A,,,,,
DNAJC4,,MRPL39,TMEM186,,,,CHRNG,TMEM79,,,,,,,SPAST,,,CNKSR2,SNX1,AFDN,,RPL27,SCAMP3,Endosome,,SNX1,,,,,
DNLZ,,AADAT,SCP2,,,,CLCN1,TMEM87A,,,,,,,RTRAF,,,CNN3,PRDX1,AGAP2,,RPL27A,RAP1B,Endosome,,PRDX1,,,,,
DNM1L,,PDHA2,DMAC2,,,,CLCN2,TMEM87B,,,,,,,SOD1,,,CNNM2,ACTB,AGO2,,RPL28,CHMP7,Endosome,,ACTB,,,,,
DTYMK,,MTRF1L,DHODH,,,,CLCNKB,TMF1,,,,,,,CPNE7,,,CNR1,VPS4B,AGRN,,RPL29,PLXNA1,Endosome,,VPS4B,,,,,
DUS2,,GTPBP3,PNKD,,,,CLDN1,TPST1,,,,,,,ASH2L,,,CNR2,CD81,AKR1A1,,RPL32,SEMA4C,Endosome,,CD81,,,,,
DUT,,MTHFD2L,MICU3,,,,CLDN10,TPST2,,,,,,,PPARGC1A,,,CNRIP1,DOCK7,AKT1,,RPL34,YWHAZ,Endosome,,DOCK7,,,,,
EARS2,,ACOT2,CYP11A1,,,,CLDN11,TRAPPC1,,,,,,,HECA,,,CNTN1,RAB6A,ALK,,RPL35,AP3S1,Endosome,,RAB6A,,,,,
ECH1,,MMAB,SMIM20,,,,CLDN12,TRAPPC10,,,,,,,RPA1,,,CNTN2,SERBP1,ANK3,,RPL35A,BAG2,Endosome,,SERBP1,,,,,
ECHDC1,,SIRT3,FOXRED1,,,,CLDN14,TRAPPC11,,,,,,,APEX1,,,CNTN5,EHD1,ANKS1B,,RPL36,MYO5A,Endosome,,EHD1,,,,,
ECHDC2,,MRPL45,ATP5MC2,,,,CLDN15,TRAPPC2L,,,,,,,BPY2,,,CNTN6,BSG,AP1G2,,RPL36A,LRRC59,Endosome,,BSG,,,,,
ECHDC3,,C12orf65,MT-ND1,,,,CLDN16,TRAPPC3,,,,,,,RFXANK,,,CNTNAP1,MSN,AP1M1,,RPL37,TPD52L2,Endosome,,MSN,,,,,
ECHS1,,POLG,SFXN4,,,,CLDN17,TRAPPC3L,,,,,,,ESRP2,,,CNTNAP2,ITGA3,AP1S1,,RPL37A,SLC7A1,Endosome,,ITGA3,,,,,
ECI1,,ATPAF1,SLC25A6,,,,CLDN18,TRAPPC4,,,,,,,DYNC1I1,,,CNTNAP4,SNX17,APBA2,,RPL38,GNAI2,Endosome,,SNX17,,,,,
ECI2,,ALDH1L2,SLC25A52,,,,CLDN19,TRAPPC5,,,,,,,ELAC1,,,COMT,SLC16A1,APBB1,,RPL4,CANX,Endosome,,SLC16A1,,,,,
ECSIT,,AASS,DMAC2L,,,,CLDN2,TRAPPC6A,,,,,,,HSPB6,,,CORO1A,CHMP1A,APC,,RPL5,VTA1,Endosome,,CHMP1A,,,,,
EFHD1,,AGXT2,ATP5MD,,,,CLDN20,TRAPPC6B,,,,,,,CUX2,,,CORO1B,BTF3,APC2,,RPL6,SDCBP,Endosome,,BTF3,,,,,
EHHADH,,GLS2,PET117,,,,CLDN22,TRAPPC8,,,,,,,CDK2AP1,,,CPEB1,ANXA2,APOA4,,RPL7,SEC61A1,Endosome,,ANXA2,,,,,
ELAC2,,C5orf63,BCO2,,,,CLDN23,TRAPPC9,,,,,,,BHLHE40,,,CPEB2,SLC1A5,APOE,,RPL7A,RPN2,Endosome,,SLC1A5,,,,,
ENDOG,,HOGA1,COA1,,,,CLDN24,UGCG,,,,,,,YTHDC1,,,CPEB3,SNX7,APP,,RPL8,SRPRB,Endosome,,SNX7,,,,,
EPHX2,,NGRN,COX7B2,,,,CLDN25,USP32,,,,,,,FIRRM,,,CPEB4,RABGEF1,APPL1,,RPL9,SLC12A6,Endosome,,RABGEF1,,,,,
ERAL1,,TCAIM,MT-ND4L,,,,CLDN3,USP6NL,,,,,,,ID2,,,CPLX1,ANXA1,ARF4,,RPLP0,HSPA8,Endosome,,ANXA1,,,,,
ETFA,,GCSH,UQCC2,,,,CLDN34,UST,,,,,,,SRRM2,,,CPLX2,,ARFGAP1,,RPLP2,TUBB,Endosome,,AGA,,,,,
ETFB,,SIRT5,FASTK,,,,CLDN4,UXS1,,,,,,,RBBP4,,,CPLX3,,ARFGEF2,,RPS10,STX4,Endosome,,ARSA,,,,,
ETFBKMT,,GPT2,CYP24A1,,,,CLDN5,VPS41,,,,,,,DMWD,,,CPNE4,,ARHGAP12,,RPS11,ARPC1A,Endosome,,ARSB,,,,,
ETFDH,,MACROD1,ATAD3B,,,,CLDN6,VPS45,,,,,,,MVB12B,,,CPNE6,,ARHGAP22,,RPS12,NPTN,Endosome,,ASAH1,,,,,
ETFRF1,,TST,PRKACA,,,,CLDN7,VPS51,,,,,,,PA2G4,,,CPNE7,,ARHGAP33,,RPS13,ACTR2,Endosome,,ATP13A2,,,,,
ETHE1,,DMGDH,ANTKMT,,,,CLDN8,VPS52,,,,,,,CDK11A,,,CPSF2,,ARHGAP39,,RPS14,PDIA6,Endosome,,ATP6V0E1,,,,,
EXD2,,NIT1,UQCC3,,,,CLDN9,VPS53,,,,,,,NANOS3,,,CPT1C,,ARHGEF15,,RPS15A,SERBP1,Endosome,,ATP6V0E2,,,,,
EXOG,,FAHD1,CYP11B2,,,,CLDND1,VPS54,,,,,,,NANOS2,,,CRELD1,,ARHGEF2,,RPS16,GNAS,Endosome,,ATP6V1A,,,,,
FABP1,,FASTKD1,SLC8B1,,,,CLEC12A,XYLT1,,,,,,,GATA3,,,CRH,,ARPC1A,,RPS23P1,ATP1B3,Endosome,,ATP6V1B1,,,,,
FAHD1,,MRPS31,CYP27B1,,,,CLEC12B,XYLT2,,,,,,,ACAD9,,,CRHR1,,ARPC5L,,RPS24,YWHAG,Endosome,,ATP6V1B2,,,,,
FAHD2A,,ALDH1L1,GPX4,,,,CLEC2A,YIF1A,,,,,,,GATA2,,,CRIPT,,ASAP1,,RPS26,EEF1A1,Endosome,,ATP6V1C1,,,,,
FAM136A,,PTCD1,EFHD1,,,,CLEC4A,YIPF1,,,,,,,INTS8,,,CRK,,ASIC1,,RPS27,SNAPIN,Endosome,,ATP6V1C2,,,,,
FAM162A,,TRIT1,RAB5IF,,,,CLEC4C,YIPF2,,,,,,,MCRIP1,,,CRKL,,ASIC2,,RPS27A,MYH9,Endosome,,ATP6V1D,,,,,
FAM185A,,GLYCTK,DMAC1,,,,CLEC4G,YIPF3,,,,,,,MCM7,,,CRMP1,,ATAD1,,RPS28,HSP90AB1,Endosome,,ATP6V1E1,,,,,
FAM210A,,AARS2,ATPSCKMT,,,,CLEC5A,YIPF4,,,,,,,MCM5,,,CRTAC1,,ATG16L1,,RPS5,SCRIB,Endosome,,ATP6V1E2,,,,,
FAM210B,,ELAC2,AGK,,,,CLECL1,YIPF5,,,,,,,MCM4,,,CRTC1,,ATG5,,RPS6KA5,BIN1,Endosome,,ATP6V1F,,,,,
FARS2,,GPX1,PLSCR3,,,,CLIC4,YIPF6,,,,,,,SBDS,,,CSMD2,,ATP1A3,,RPS6KB1,SLC3A2,Endosome,,ATP6V1G1,,,,,
FASN,,HEMK1,CKMT1B,,,,CLMP,YIPF7,,,,,,,USP17L6P,,,CSNK2B,,AXIN1,,RTN4,ITGA5,Endosome,,ATP6V1G2,,,,,
FASTK,,METTL5,NDUFB1,,,,CLRN1,ZDHHC15,,,,,,,CELF2,,,CSPG5,,BACE1,,RTN4R,S100A10,Endosome,,ATP6V1G3,,,,,
FASTKD1,,MSRA,CYP11B1,,,,CLSTN1,ZDHHC21,,,,,,,AGBL5,,,CTBP1,,BAIAP2,,S1PR2,PDCD6IP,Endosome,,ATP6V1H,,,,,
FASTKD2,,NUDT8,MT-ND6,,,,CLTRN,ZDHHC3,,,,,,,RAD51AP1,,,CTBP2,,BCAN,,SAMD4A,YWHAB,Endosome,,BORCS8,,,,,
FASTKD3,,NMNAT3,SPHK2,,,,CMKLR1,ZDHHC7,,,,,,,OLFM2,,,CTNNA2,,BCAS1,,SEMA3F,GDI2,Endosome,,CCZ1,,,,,
FASTKD5,,ACLY,PDE2A,,,,CMTM4,ZFPL1,,,,,,,PABIR1,,,CTNNB1,,BCL11A,,SEMA4C,ACTR3,Endosome,,CCZ1B,,,,,
FBXL4,,FLAD1,SPHKAP,,,,CNGA1,,,,,,,,TDRD9,,,CTNND1,,BEGAIN,,SENP1,PRDX1,Endosome,,CLCN3,,,,,
FDPS,,LIPT1,RP11_469A15.2,,,,CNIH3,,,,,,,,ZBTB32,,,CTNND2,,BRAF,,SEPTIN11,ACTB,Endosome,,CLCN7,,,,,
FDX1,,DGLUCY,,,,,CNNM1,,,,,,,,MED16,,,CTSD,,BRINP1,,SEPTIN7,CD81,Endosome,,CLN1,,,,,
FDX2,,PCK2,,,,,CNNM2,,,,,,,,RBMX2,,,CTTN,,C1QL1,,SH3GL2,DOCK7,Endosome,,CLN3,,,,,
FDXR,,NADK2,,,,,CNNM3,,,,,,,,THRAP3,,,CTTNBP2,,C1QL2,,SHANK2,RAB6A,Endosome,,CLN5,,,,,
FECH,,NUDT13,,,,,CNNM4,,,,,,,,CDIN1,,,CUL3,,CABP1,,SHANK3,SERBP1,Endosome,,CLN8,,,,,
FH,,ACACA,,,,,CNP,,,,,,,,KLHDC2,,,CXADR,,CACNA2D3,,SHH,BSG,Endosome,,CTBS,,,,,
FHIT,,ABAT,,,,,CNR2,,,,,,,,AXIN2,,,CYFIP1,,CACNB1,,SHROOM4,MSN,Endosome,,CTNS,,,,,
FIS1,,HMGCS2,,,,,CNTFR,,,,,,,,ISOC2,,,CYFIP2,,CADM1,,SIGMAR1,ITGA3,Endosome,,CTSA,,,,,
FKBP10,,ALDH5A1,,,,,CNTN1,,,,,,,,LSM2,,,CYLD,,CADM2,,SIPA1L1,SLC16A1,Endosome,,CTSB,,,,,
FKBP8,,GUK1,,,,,CNTN2,,,,,,,,PTPN22,,,CYTH1,,CADM3,,SLC12A5,BTF3,Endosome,,CTSC,,,,,
FLAD1,,D2HGDH,,,,,CNTN3,,,,,,,,TEX264,,,CYTH2,,CADM4,,SLC18A2,ANXA2,Endosome,,CTSD,,,,,
FMC1,,PHYH,,,,,CNTN5,,,,,,,,GLI3,,,DAAM1,,CALB1,,SLC24A2,SLC1A5,Endosome,,CTSF,,,,,
FOXRED1,,MRPL42,,,,,CNTN6,,,,,,,,NOSIP,,,DAB1,,CALB2,,SLC29A1,,,,CTSH,,,,,
FPGS,,ABHD10,,,,,CNTNAP4,,,,,,,,ZEB1,,,DACT1,,CALD1,,SMO,,,,CTSK,,,,,
FTH1,,OSGEPL1,,,,,COL13A1,,,,,,,,KDM5B,,,DAG1,,CALY,,SNAP23,,,,CTSL,,,,,
FTMT,,NUDT2,,,,,COL23A1,,,,,,,,MSANTD4,,,DAGLA,,CAMK1,,SNX27,,,,CTSO,,,,,
FUNDC1,,GRSF1,,,,,COTL1,,,,,,,,CMTR1,,,DAPK1,,CAMK2B,,SPTAN1,,,,CTSS,,,,,
FUNDC2,,MRPS18B,,,,,CPD,,,,,,,,NPM1,,,DBN1,,CAMK4,,SPTB,,,,CTSV,,,,,
FXN,,DGUOK,,,,,CPLX3,,,,,,,,POLB,,,DBNL,,CAMKV,,SPTBN1,,,,CTSZ,,,,,
GADD45GIP1,,RFK,,,,,CPLX4,,,,,,,,EIF4E,,,DCC,,CAP1,,SPTBN2,,,,DNAJC5,,,,,
GARS1,,AKR7A2,,,,,CPM,,,,,,,,S100A6,,,DCLK1,,CAP2,,SRCIN1,,,,DNASE2,,,,,
GATB,,DUT,,,,,CPO,,,,,,,,NTHL1,,,DCX,,CAPN1,,SRGAP3,,,,DNASE2B,,,,,
GATC,,MTRF1,,,,,CR2,,,,,,,,FOSB,,,DDN,,CAPRIN1,,STAT3,,,,DPP7,,,,,
GATD3A,,NT5M,,,,,CRB3,,,,,,,,SHLD2,,,DDX3X,,CARMIL3,,STAU2,,,,DRAM1,,,,,
GATM,,MTHFS,,,,,CRHR2,,,,,,,,CCAR2,,,DGCR8,,CASKIN1,,STK38,,,,DRAM2,,,,,
GCAT,,PNPO,,,,,CROCC,,,,,,,,MIER1,,,DGKB,,CBLB,,STK38L,,,,EPDR1,,,,,
GCDH,,QRSL1,,,,,CSF1R,,,,,,,,DEFB106A,,,DGKE,,CBLN1,,STRN,,,,FUCA1,,,,,
GCSH,,NIPSNAP1,,,,,CSF2RA,,,,,,,,ATOH7,,,DGKI,,CC2D1A,,STRN3,,,,GAA,,,,,
GDAP1,,GARS1,,,,,CSMD2,,,,,,,,MSH2,,,DGKQ,,CD2AP,,STRN4,,,,GALC,,,,,
GFER,,ACSM2A,,,,,CSMD3,,,,,,,,UPF2,,,DGKZ,,CD44,,STX3,,,,GALNS,,,,,
GFM1,,PARS2,,,,,CSNK1G3,,,,,,,,ZYX,,,DIAPH1,,CD47,,STX4,,,,GBA1,,,,,
GFM2,,MRPL52,,,,,CSPG4,,,,,,,,ZIC1,,,DICER1,,CDC42,,SUMO2,,,,GLA,,,,,
GHITM,,PUS1,,,,,CT83,,,,,,,,ZFHX3,,,DIP2A,,CDH1,,SWAP70,,,,GLB1,,,,,
GLDC,,FPGS,,,,,CTLA4,,,,,,,,EZH2,,,DISC1,,CDH10,,SYNDIG1,,,,GLMP,,,,,
GLOD4,,NIF3L1,,,,,CTNNAL1,,,,,,,,RORC,,,DIXDC1,,CDH11,,SYT11,,,,GM2A,,,,,
GLRX2,,PUSL1,,,,,CX3CR1,,,,,,,,CAND1,,,DLG1,,CDH13,,SYT17,,,,GNS,,,,,
GLRX5,,METTL17,,,,,CXADR,,,,,,,,PRKCD,,,DLG2,,CDH23,,SYT3,,,,GPR137B,,,,,
GLS,,ARG2,,,,,CXCR1,,,,,,,,EEF1A2,,,DLG3,,CDH6,,TANC1,,,,GRN,,,,,
GLS2,,MTPAP,,,,,CXCR2,,,,,,,,CSNK2A1,,,DLG4,,CDH8,,TAOK2,,,,GUSB,,,,,
GLUD1,,SUGCT,,,,,CXCR3,,,,,,,,WDR74,,,DLG5,,CDH9,,TENT2,,,,HEXA,,,,,
GLUD2,,NRDC,,,,,CXCR4,,,,,,,,EAPP,,,DLGAP1,,CDK5,,TFRC,,,,HEXB,,,,,
GLYAT,,NSUN4,,,,,CXCR5,,,,,,,,MECOM,,,DLGAP2,,CDK5R2,,THY1,,,,HGSNAT,,,,,
GLYCTK,,ACSS3,,,,,CXCR6,,,,,,,,CARNMT1,,,DLGAP3,,CDKL5,,TIAM1,,,,HYAL1,,,,,
GOLPH3,,RBFA,,,,,CYBRD1,,,,,,,,OGG1,,,DLGAP4,,CHD4,,TRAF6,,,,IDS,,,,,
GOT2,,METAP1D,,,,,CYSLTR1,,,,,,,,QRICH1,,,DMD,,CHMP2B,,TRIM3,,,,IDUA,,,,,
GPAM,,NIPSNAP3A,,,,,CYSLTR2,,,,,,,,CD74,,,DMTN,,CHMP4B,,TRIM47,,,,ITFG2,,,,,
GPAT2,,CBR3,,,,,CYSTM1,,,,,,,,SDR16C5,,,DMXL2,,CLSTN1,,TRIO,,,,KCDT5,,,,,
GPD2,,MTERF4,,,,,CYTH4,,,,,,,,TTC3,,,DNAJB1,,CLSTN3,,TSC2,,,,KPTN,,,,,
GPT2,,NUDT19,,,,,DAB2,,,,,,,,POLR2K,,,DNAJC5,,CLU,,TSPAN7,,,,KXD1,,,,,
GPX1,,DTYMK,,,,,DAG1,,,,,,,,PTTG1IP,,,DNAJC6,,CNKSR2,,UBA52,,,,LAMP1,,,,,
GPX4,,KARS1,,,,,DAGLA,,,,,,,,ORC2,,,DNM1,,CNN3,,UBE2M,,,,LAMP2,,,,,
GRHPR,,OTC,,,,,DAGLB,,,,,,,,RYBP,,,DNM1L,,CNNM2,,UBE2N,,,,LAMTOR1,,,,,
GRPEL1,,MTERF3,,,,,DCBLD2,,,,,,,,DUT,,,DNM2,,CNR1,,UBE2V1,,,,LAMTOR2,,,,,
GRPEL2,,THNSL1,,,,,DCHS1,,,,,,,,XRCC4,,,DNM3,,CNRIP1,,UBE3B,,,,LAMTOR3,,,,,
GRSF1,,IDI1,,,,,DCST1,,,,,,,,NME8,,,DNMBP,,CNTN1,,USP8,,,,LAMTOR4,,,,,
GSR,,TOP3A,,,,,DCUN1D3,,,,,,,,ZNF664,,,DOC2A,,CNTN5,,USP9X,,,,LAMTOR5,,,,,
GSTK1,,FTMT,,,,,DDAH1,,,,,,,,METTL4,,,DOC2B,,CNTN6,,VASP,,,,LAPTM4A,,,,,
GSTZ1,,LDHAL6B,,,,,DDAH2,,,,,,,,XPA,,,DOCK1,,CNTNAP1,,VEZT,,,,LAPTM4B,,,,,
GTPBP10,,TRMT10C,,,,,DDR1,,,,,,,,AHDC1,,,DOCK10,,CNTNAP4,,VHL,,,,LAPTM5,,,,,
GTPBP3,,ACOT7,,,,,DDR2,,,,,,,,ASCC3,,,DOCK4,,COMT,,VPS35,,,,LGMN,,,,,
GTPBP6,,TFB1M,,,,,DLG1,,,,,,,,RNF4,,,DOCK7,,CORO1A,,VPS52,,,,LIPA,,,,,
GUF1,,TWNK,,,,,DLG2,,,,,,,,ZNF786,,,DPP6,,CORO1B,,WASF1,,,,LMBRD1,,,,,
GUK1,,MMADHC,,,,,DLG3,,,,,,,,PIAS4,,,DPYSL2,,CPEB1,,WASF2,,,,MAN2B1,,,,,
HADH,,PYCR2,,,,,DLGAP1,,,,,,,,KDM8,,,DPYSL3,,CPEB2,,WASF3,,,,MAN2B2,,,,,
HADHA,,RECQL4,,,,,DLGAP2,,,,,,,,EN1,,,DPYSL5,,CPEB3,,WASL,,,,MANBA,,,,,
HADHB,,MTIF3,,,,,DLGAP3,,,,,,,,UBE2QL1,,,DRD1,,CPEB4,,WLS,,,,MCOLN1,,,,,
HAGH,,UNG,,,,,DLL1,,,,,,,,MIER2,,,DRD2,,CPNE4,,WNT3A,,,,MCOLN2,,,,,
HAO2,,GLYAT,,,,,DLL4,,,,,,,,H2BC11,,,DRD3,,CPNE7,,WNT5A,,,,MCOLN3,,,,,
HARS2,,ISOC2,,,,,DMD,,,,,,,,KLK1,,,DRD4,,CPSF2,,WNT7A,,,,MFSD12,,,,,
HCCS,,QDPR,,,,,DOK7,,,,,,,,NR5A2,,,DRD5,,CRELD1,,ZDHHC5,,,,MFSD8,,,,,
HDHD3,,GTPBP10,,,,,DPEP1,,,,,,,,RNF187,,,DROSHA,,CRMP1,,ZDHHC8,,,,MIOS,,,,,
HDHD5,,TRMT1,,,,,DPP10,,,,,,,,DLST,,,DRP2,,CRTAC1,,,,,,MON1B,,,,,
HEBP1,,MRPS36,,,,,DPP6,,,,,,,,SREBF1,,,DSTN,,CRTC1,,,,,,MPO,,,,,
HEMK1,,PDP2,,,,,DRD2,,,,,,,,POLR2I,,,DTNB,,CSNK2B,,,,,,NAAA,,,,,
HIBADH,,BOLA3,,,,,DRD4,,,,,,,,CDK11B,,,DTNBP1,,CTTN,,,,,,NAGA,,,,,
HIBCH,,FASTKD2,,,,,DRD5,,,,,,,,MED25,,,DVL1,,CTTNBP2,,,,,,NAGLU,,,,,
HIGD1A,,PIF1,,,,,DRP2,,,,,,,,SOX30,,,DVL3,,CUL3,,,,,,NEU1,,,,,
HIGD2A,,PLPBP,,,,,DSC1,,,,,,,,HEXIM1,,,DYNLL2,,CYFIP1,,,,,,NPC1,,,,,
HINT1,,PNPT1,,,,,DSC2,,,,,,,,PDE2A,,,EEA1,,CYFIP2,,,,,,NPC2,,,,,
HINT2,,TOP1MT,,,,,DSC3,,,,,,,,H1-5,,,EEF1A1,,CYLD,,,,,,OSTM1,,,,,
HINT3,,RNASEH1,,,,,DSCAML1,,,,,,,,UBE2I,,,EEF1A2,,CYTH2,,,,,,PCYOX1,,,,,
HMGCL,,NT5DC3,,,,,DSG1,,,,,,,,PIP5K1A,,,EEF1D,,DAAM1,,,,,,PIP4P1,,,,,
HMGCS2,,YBEY,,,,,DSG2,,,,,,,,NPAS2,,,EEF2,,DAB1,,,,,,PLA2G15,,,,,
HOGA1,,TK2,,,,,DSG3,,,,,,,,CDC6,,,EEF2K,,DACT1,,,,,,PLBD1,,,,,
HPDL,,AGMAT,,,,,DSG4,,,,,,,,RACK1,,,EFNA5,,DAG1,,,,,,PLBD2,,,,,
HSCB,,CMPK2,,,,,DSTN,,,,,,,,EIF5A,,,EFNB1,,DBNL,,,,,,PPT1,,,,,
HSD17B10,,DCXR,,,,,DUOX1,,,,,,,,ERICH6,,,EFNB2,,DCLK1,,,,,,PPT2,,,,,
HSD17B4,,NUDT9,,,,,DUOX2,,,,,,,,HNRNPAB,,,EFNB3,,DCX,,,,,,PRCP,,,,,
HSD17B8,,AMACR,,,,,DYTN,,,,,,,,BARD1,,,EFR3A,,DDN,,,,,,PSAP,,,,,
HSDL1,,NUDT6,,,,,ECE1,,,,,,,,NFAT5,,,EGFR,,DGKB,,,,,,RNF13,,,,,
HSDL2,,MRM2,,,,,EDNRA,,,,,,,,PCF11,,,EGLN1,,DIP2A,,,,,,RNF152,,,,,
HSPA9,,MRPL48,,,,,EDNRB,,,,,,,,SFRP4,,,EHD1,,DISC1,,,,,,RNF167,,,,,
HSPD1,,AGXT,,,,,EFNA1,,,,,,,,SIX1,,,EIF1AX,,DIXDC1,,,,,,RPTOR,,,,,
HSPE1,,DDX28,,,,,EFNA2,,,,,,,,DOK1,,,EIF1AY,,DLG5,,,,,,SCARB2,,,,,
HTATIP2,,MUTYH,,,,,EFNA3,,,,,,,,NR0B2,,,EIF2B2,,DLGAP4,,,,,,SGSH,,,,,
HTD2,,GTPBP6,,,,,EFNA5,,,,,,,,SKP1,,,EIF2S1,,DMD,,,,,,SIAE,,,,,
HTRA2,,METTL8,,,,,EFNB1,,,,,,,,SF3A1,,,EIF2S2,,DMTN,,,,,,SLC15A3,,,,,
IARS2,,RPUSD4,,,,,EFNB2,,,,,,,,ZFP36,,,EIF2S3,,DNAJB1,,,,,,SLC15A4,,,,,
IBA57,,NME6,,,,,EFR3A,,,,,,,,SF3B4,,,EIF3A,,DOCK10,,,,,,SLC17A5,,,,,
IDE,,ACSM4,,,,,EGFR,,,,,,,,SAFB,,,EIF3B,,DOCK4,,,,,,SLC29A3,,,,,
IDH2,,NLRX1,,,,,EMB,,,,,,,,STYX,,,EIF3D,,DPP6,,,,,,SLC2A6,,,,,
IDH3A,,TFB2M,,,,,EMP3,,,,,,,,SMAD1,,,EIF3E,,DPYSL2,,,,,,SLC38A7,,,,,
IDH3B,,PPM1K,,,,,ENG,,,,,,,,SMAD2,,,EIF3F,,DPYSL3,,,,,,SLC38A9,,,,,
IDH3G,,ACOT11,,,,,ENPEP,,,,,,,,RANGRF,,,EIF3I,,DPYSL5,,,,,,SLC49A4,,,,,
IDI1,,NIPSNAP3B,,,,,ENPP4,,,,,,,,CDK1,,,EIF3L,,DSTN,,,,,,SLC66A1,,,,,
IFI27,,TRMT5,,,,,ENPP6,,,,,,,,CEBPE,,,EIF4A3,,DTNB,,,,,,SLC7A14,,,,,
IMMP1L,,OGG1,,,,,ENTPD8,,,,,,,,PTMA,,,EIF4B,,DVL3,,,,,,SMPD1,,,,,
IMMP2L,,ACOD1,,,,,EPB41,,,,,,,,ELAVL1,,,EIF4E,,DYNLL2,,,,,,SZT2,,,,,
IMMT,,QTRT1,,,,,EPB41L1,,,,,,,,TSC22D1,,,EIF4EBP1,,EEF1A1,,,,,,TM6SF1,,,,,
ISCA1,,C15orf61,,,,,EPB41L2,,,,,,,,GATAD2B,,,EIF4EBP2,,EEF1A2,,,,,,TMEM175,,,,,
ISCA2,,POLQ,,,,,EPB41L5,,,,,,,,ASB10,,,EIF4G1,,EEF1D,,,,,,TMEM192,,,,,
ISCU,,CRYZ,,,,,EPCAM,,,,,,,,RB1,,,EIF4G2,,EEF2,,,,,,TMEM63A,,,,,
ISOC2,,PYCR1,,,,,EPHA1,,,,,,,,COPS9,,,EIF4G3,,EEF2K,,,,,,TPCN1,,,,,
IVD,,TMLHE,,,,,EPHA2,,,,,,,,PYDC1,,,EIF5,,EFNA5,,,,,,TPCN2,,,,,
KARS1,,YRDC,,,,,EPHA5,,,,,,,,STAT5B,,,EIF5A,,EFNB1,,,,,,TPP1,,,,,
KMO,,DHRS2,,,,,EPHA7,,,,,,,,ZNF91,,,EIF5B,,EFNB2,,,,,,TSPAN1,,,,,
KYAT3,,MMAA,,,,,EPHB2,,,,,,,,VRK2,,,EIF6,,EGLN1,,,,,,WDR24,,,,,
L2HGDH,,LIG3,,,,,EPHB3,,,,,,,,DDX42,,,ELAVL1,,EIF1AX;EIF1AY,,,,,,WDR59,,,,,
LACTB,,FASTKD5,,,,,EPHB4,,,,,,,,PIR,,,ELAVL2,,EIF2S1,,,,,,,,,,,
LACTB2,,SIRT4,,,,,EPN1,,,,,,,,PRPF31,,,ELAVL4,,EIF2S2,,,,,,,,,,,
LAP3,,PDE12,,,,,EPN2,,,,,,,,PALLD,,,ELFN1,,EIF2S3,,,,,,,,,,,
LARS2,,DHX30,,,,,EPS15,,,,,,,,NELFB,,,ELFN2,,EIF3B,,,,,,,,,,,
LDHAL6B,,METTL15,,,,,EPS15L1,,,,,,,,VRK1,,,ELMO1,,EIF3D,,,,,,,,,,,
LDHB,,NOCT,,,,,EPS8L2,,,,,,,,KIF18B,,,ELMOD1,,EIF3F,,,,,,,,,,,
LDHD,,CA5A,,,,,ERBB2,,,,,,,,CITED1,,,ENAH,,EIF3I,,,,,,,,,,,
LETM1,,NT5DC2,,,,,ERBB2IP,,,,,,,,FOXC2,,,EPB41L1,,EIF3L,,,,,,,,,,,
LETM2,,TRUB2,,,,,ERBIN,,,,,,,,ATF6B,,,EPB41L3,,EIF4A3,,,,,,,,,,,
LETMD1,,C3orf33,,,,,ERVFC1,,,,,,,,BAG1,,,EPHA3,,EIF4B,,,,,,,,,,,
